Bibliography vs Study Characteristic,Bibliography vs Type of Digital Innovation,Bibliography vs Application of Digital Innovation,Bibliography vs Impact on Food Insecurity,Bibliography vs Challenges and Limitations,Bibliography vs Future Directions,Bibliography vs Key Findings and Conclusions,Study Characteristic vs Bibliography,Study Characteristic vs Type of Digital Innovation,Study Characteristic vs Application of Digital Innovation,Study Characteristic vs Impact on Food Insecurity,Study Characteristic vs Challenges and Limitations,Study Characteristic vs Future Directions,Study Characteristic vs Key Findings and Conclusions,Type of Digital Innovation vs Bibliography,Type of Digital Innovation vs Study Characteristic,Type of Digital Innovation vs Application of Digital Innovation,Type of Digital Innovation vs Impact on Food Insecurity,Type of Digital Innovation vs Challenges and Limitations,Type of Digital Innovation vs Future Directions,Type of Digital Innovation vs Key Findings and Conclusions,Application of Digital Innovation vs Bibliography,Application of Digital Innovation vs Study Characteristic,Application of Digital Innovation vs Type of Digital Innovation,Application of Digital Innovation vs Impact on Food Insecurity,Application of Digital Innovation vs Challenges and Limitations,Application of Digital Innovation vs Future Directions,Application of Digital Innovation vs Key Findings and Conclusions,Impact on Food Insecurity vs Bibliography,Impact on Food Insecurity vs Study Characteristic,Impact on Food Insecurity vs Type of Digital Innovation,Impact on Food Insecurity vs Application of Digital Innovation,Impact on Food Insecurity vs Challenges and Limitations,Impact on Food Insecurity vs Future Directions,Impact on Food Insecurity vs Key Findings and Conclusions,Challenges and Limitations vs Bibliography,Challenges and Limitations vs Study Characteristic,Challenges and Limitations vs Type of Digital Innovation,Challenges and Limitations vs Application of Digital Innovation,Challenges and Limitations vs Impact on Food Insecurity,Challenges and Limitations vs Future Directions,Challenges and Limitations vs Key Findings and Conclusions,Future Directions vs Bibliography,Future Directions vs Study Characteristic,Future Directions vs Type of Digital Innovation,Future Directions vs Application of Digital Innovation,Future Directions vs Impact on Food Insecurity,Future Directions vs Challenges and Limitations,Future Directions vs Key Findings and Conclusions,Key Findings and Conclusions vs Bibliography,Key Findings and Conclusions vs Study Characteristic,Key Findings and Conclusions vs Type of Digital Innovation,Key Findings and Conclusions vs Application of Digital Innovation,Key Findings and Conclusions vs Impact on Food Insecurity,Key Findings and Conclusions vs Challenges and Limitations,Key Findings and Conclusions vs Future Directions
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922697222076737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21394917624642104,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922697222076737,0.6922697222076737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23016898766881383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7023323908878489,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3926706886766711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6922697222076737,0.0,0.0,0.250676564207924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11643743492900142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8449694583483756,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5255177688891775,0.1931495237021395,0.0,0.0,0.15024312085599284,0.0,0.0,0.27016854046422883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21344371504033707,0.0,0.20484748626636276,0.0,0.20484748626636276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3120272613123275,0.6721501192466495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.16869528332170183,0.0,0.18487355550051984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931495237021395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20484748626636276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931495237021395,0.3038039754205923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20484748626636276,0.0,0.5272038112501463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5078578499076362,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1409330982478411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21394917624642104,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3120272613123275,0.6721501192466495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,0.0,0.0,0.0,0.3048068737507673,0.22236083895862704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11024102586093668,0.0,0.0,0.0,0.0,0.0,0.0,0.3465092212388892,1.0000000000000002,0.0,0.6721501192466495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2375004069962459,0.0,0.22236083895862704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
